MetaMessage type: track_name, time: 0, actual_time: 0
type: program_change, time: 0, actual_time: 0
type=note_on channel=0 note=62 velocity=80 time=24 actual_time=28200
type=note_on channel=0 note=62 velocity=0 time=96 actual_time=28296
type=note_on channel=0 note=61 velocity=80 time=24 actual_time=28320
type=note_on channel=0 note=61 velocity=0 time=96 actual_time=28416
type=note_on channel=0 note=61 velocity=80 time=24 actual_time=28440
type=note_on channel=0 note=61 velocity=0 time=48 actual_time=28488
type=note_on channel=0 note=62 velocity=80 time=12 actual_time=28500
type=note_on channel=0 note=62 velocity=0 time=192 actual_time=28692
type=note_on channel=0 note=59 velocity=80 time=228 actual_time=28920
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=29016
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=29040
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=29136
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=29160
type=note_on channel=0 note=59 velocity=0 time=48 actual_time=29208
type=note_on channel=0 note=62 velocity=80 time=12 actual_time=29220
type=note_on channel=0 note=62 velocity=0 time=168 actual_time=29388
type=note_on channel=0 note=59 velocity=80 time=12 actual_time=29400
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=29496
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=29520
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=29616
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=29640
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=29736
type=note_on channel=0 note=62 velocity=80 time=24 actual_time=29760
type=note_on channel=0 note=62 velocity=0 time=96 actual_time=29856
type=note_on channel=0 note=62 velocity=80 time=24 actual_time=29880
type=note_on channel=0 note=62 velocity=0 time=96 actual_time=29976
type=note_on channel=0 note=62 velocity=80 time=24 actual_time=30000
type=note_on channel=0 note=62 velocity=0 time=96 actual_time=30096
type=note_on channel=0 note=62 velocity=80 time=24 actual_time=30120
type=note_on channel=0 note=62 velocity=0 time=96 actual_time=30216
type=note_on channel=0 note=61 velocity=80 time=24 actual_time=30240
type=note_on channel=0 note=61 velocity=0 time=96 actual_time=30336
type=note_on channel=0 note=61 velocity=80 time=24 actual_time=30360
type=note_on channel=0 note=61 velocity=0 time=96 actual_time=30456
type=note_on channel=0 note=61 velocity=80 time=24 actual_time=30480
type=note_on channel=0 note=61 velocity=0 time=96 actual_time=30576
type=note_on channel=0 note=62 velocity=80 time=24 actual_time=30600
type=note_on channel=0 note=62 velocity=0 time=96 actual_time=30696
type=note_on channel=0 note=59 velocity=80 time=144 actual_time=30840
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=30936
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=30960
type=note_on channel=0 note=59 velocity=0 time=96 actual_time=31056
type=note_on channel=0 note=59 velocity=80 time=24 actual_time=31080
